"","run_id","audio_info","emotion","response","gender","msi1","msi2","msi3","msi4","msi5"
"70",10,"091.mp3","anger","71","Male","6-9","1","3","6-9","2"
"71",10,"121.mp3","happy","14","Male","6-9","1","3","6-9","2"
"72",10,"121.mp3","sad","62","Male","6-9","1","3","6-9","2"
"73",10,"121.mp3","tender","14","Male","6-9","1","3","6-9","2"
"74",10,"121.mp3","fear","74","Male","6-9","1","3","6-9","2"
"75",10,"121.mp3","anger","83","Male","6-9","1","3","6-9","2"
"76",10,"061.mp3","happy","87","Male","6-9","1","3","6-9","2"
"77",10,"061.mp3","sad","72","Male","6-9","1","3","6-9","2"
"78",10,"061.mp3","tender","100","Male","6-9","1","3","6-9","2"
"79",10,"061.mp3","fear","32","Male","6-9","1","3","6-9","2"
"80",10,"061.mp3","anger","13","Male","6-9","1","3","6-9","2"
"81",10,"151.mp3","happy","88","Male","6-9","1","3","6-9","2"
"82",10,"151.mp3","sad","31","Male","6-9","1","3","6-9","2"
"83",10,"151.mp3","tender","35","Male","6-9","1","3","6-9","2"
"84",10,"151.mp3","fear","65","Male","6-9","1","3","6-9","2"
"85",10,"151.mp3","anger","60","Male","6-9","1","3","6-9","2"
"86",10,"001.mp3","happy","100","Male","6-9","1","3","6-9","2"
"87",10,"001.mp3","sad","0","Male","6-9","1","3","6-9","2"
"88",10,"001.mp3","tender","11","Male","6-9","1","3","6-9","2"
"89",10,"001.mp3","fear","0","Male","6-9","1","3","6-9","2"
"90",10,"001.mp3","anger","59","Male","6-9","1","3","6-9","2"
"91",11,"091.mp3","happy","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"92",11,"091.mp3","sad","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"93",11,"091.mp3","tender","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"94",11,"091.mp3","fear","100","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"95",11,"091.mp3","anger","100","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"96",11,"031.mp3","happy","70","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"97",11,"031.mp3","sad","79","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"98",11,"031.mp3","tender","100","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"99",11,"031.mp3","fear","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"100",11,"031.mp3","anger","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"101",11,"151.mp3","happy","57","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"102",11,"151.mp3","sad","42","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"103",11,"151.mp3","tender","31","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"104",11,"151.mp3","fear","8","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"105",11,"151.mp3","anger","74","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"106",11,"001.mp3","happy","40","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"107",11,"001.mp3","sad","70","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"108",11,"001.mp3","tender","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"109",11,"001.mp3","fear","26","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"110",11,"001.mp3","anger","26","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"111",11,"061.mp3","happy","56","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"112",11,"061.mp3","sad","70","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"113",11,"061.mp3","tender","84","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"114",11,"061.mp3","fear","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"115",11,"061.mp3","anger","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"116",11,"121.mp3","happy","100","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"117",11,"121.mp3","sad","0","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"118",11,"121.mp3","tender","19","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"119",11,"121.mp3","fear","63","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"120",11,"121.mp3","anger","24","Female","10 or more","5 or moremore","7 or more","10 or more","4"
"121",13,"061.mp3","happy","34","Female","2","1","0.5","1","2"
"122",13,"061.mp3","sad","91","Female","2","1","0.5","1","2"
"123",13,"061.mp3","tender","90","Female","2","1","0.5","1","2"
"124",13,"061.mp3","fear","0","Female","2","1","0.5","1","2"
"125",13,"061.mp3","anger","0","Female","2","1","0.5","1","2"
"126",13,"151.mp3","happy","67","Female","2","1","0.5","1","2"
"127",13,"151.mp3","sad","0","Female","2","1","0.5","1","2"
"128",13,"151.mp3","tender","0","Female","2","1","0.5","1","2"
"129",13,"151.mp3","fear","68","Female","2","1","0.5","1","2"
"130",13,"151.mp3","anger","50","Female","2","1","0.5","1","2"
"131",13,"031.mp3","happy","25","Female","2","1","0.5","1","2"
"132",13,"031.mp3","sad","100","Female","2","1","0.5","1","2"
"133",13,"031.mp3","tender","100","Female","2","1","0.5","1","2"
"134",13,"031.mp3","fear","60","Female","2","1","0.5","1","2"
"135",13,"031.mp3","anger","1","Female","2","1","0.5","1","2"
"136",13,"121.mp3","happy","0","Female","2","1","0.5","1","2"
"137",13,"121.mp3","sad","0","Female","2","1","0.5","1","2"
"138",13,"121.mp3","tender","1","Female","2","1","0.5","1","2"
"139",13,"121.mp3","fear","100","Female","2","1","0.5","1","2"
"140",13,"121.mp3","anger","100","Female","2","1","0.5","1","2"
"141",13,"091.mp3","happy","0","Female","2","1","0.5","1","2"
"142",13,"091.mp3","sad","71","Female","2","1","0.5","1","2"
"143",13,"091.mp3","tender","0","Female","2","1","0.5","1","2"
"144",13,"091.mp3","fear","100","Female","2","1","0.5","1","2"
"145",13,"091.mp3","anger","100","Female","2","1","0.5","1","2"
"146",13,"001.mp3","happy","100","Female","2","1","0.5","1","2"
"147",13,"001.mp3","sad","4","Female","2","1","0.5","1","2"
"148",13,"001.mp3","tender","0","Female","2","1","0.5","1","2"
"149",13,"001.mp3","fear","0","Female","2","1","0.5","1","2"
"150",13,"001.mp3","anger","0","Female","2","1","0.5","1","2"
