success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,rt,stimulus,response,task,timeout,failed_images,failed_audio,failed_video,slider_start,question_order
true,fullscreen,0,2710,0.0-0.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,,,,,,,,,,
,html-button-response,1,3813,0.0-1.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,1101,Welcome to the experiment of Group 6,0,,,,,,,
,html-button-response,2,8877,0.0-2.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,5062,"
        <p>In this experiment, you will hear different songs. You will have to focus on your emotions during listening to it.</p>
        <p> After each track, you must indicate on a scale how happy or sad it makes you feel.</p>",0,instruction,,,,,,
true,preload,3,8879,0.0-3.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,,,,,false,[],[],[],,
,audio-slider-response,4,24981,0.0-4.0-0.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,16045,Eric-Clapton-Tears-In-Heaven-Ins.mp3,32,audio_slider,,,,,50,
,survey-multi-choice,5,27180,0.0-5.0-0.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,2197,,"{""familiarity"":""yes""}",multi_choice,,,,,,[0]
true,preload,6,27183,0.0-6.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,,,,,false,[],[],[],,
,audio-slider-response,7,52637,0.0-7.0-0.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,25374,Daniel-Powter-Bad-Day-Official-M-[AudioTrimmer.com].mp3,81,audio_slider,,,,,50,
,survey-multi-choice,8,54597,0.0-8.0-0.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,1957,,"{""familiarity"":""yes""}",multi_choice,,,,,,[0]
true,preload,9,54600,0.0-9.0,10,1,2023-07-28 12:51:15,6ad40e38acdca90a181c9c1a7b1b6550,87.61.103.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,,,,,false,[],[],[],,
