success;trial_type;trial_index;time_elapsed;internal_node_id;run_id;condition;recorded_at;source_code_version;ip;user_agent;device;browser;browser_version;platform;platform_version;rt;stimulus;response;task;timeout;failed_images;failed_audio;failed_video;slider_start
;html-button-response;1;3781;0.0-1.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;1295;Welcome to the experiment;0;;;;;;
;html-button-response;2;9394;0.0-2.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;5611;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
true;preload;3;9397;0.0-3.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;;;;;false;[];[];[];
;audio-slider-response;4;21247;0.0-4.0-0.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;10762;low_complex_1.wav;60;audio_slider;;;;;50
;audio-slider-response;5;33976;0.0-4.0-0.1;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;12153;high_complex_2.wav;72;audio_slider;;;;;50
;audio-slider-response;6;45526;0.0-4.0-0.2;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;11009;low_complex_2.wav;58;audio_slider;;;;;50
;audio-slider-response;7;56791;0.0-4.0-0.3;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;10478;mid_complex_2.wav;87;audio_slider;;;;;50
;audio-slider-response;8;68825;0.0-4.0-0.4;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;11613;high_complex_1.wav;71;audio_slider;;;;;50
;audio-slider-response;9;80191;0.0-4.0-0.5;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;10638;mid_complex_1.wav;90;audio_slider;;;;;50
;html-button-response;10;98744;0.0-5.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;18549;<p>On the next slide we will ask you to define your <b>musical experience</b>. <p></p> <b>Non-musician</b> means you don't regularly play an instrument. <p></p> <b>Amateur musician</b> means you regularly play an instrument as a hobby, but you do not get paid. <p></p> <b>Music student</b> means you are engaged in formal music education. <p></p> <b>Semi-professional musician</b> means you get paid to play, but it is not your primary source of income. <p></p> <b>Professional musican</b> means that playing music is your primary source of income.  </p>;0;instruction2;;;;;
