,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
95,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Hits from the Bong,0cfqYhY6B8PbGF9vaVNUeG,https://p.scdn.co/mp3-preview/8ec707f9fe27887b2fe5278059a89c011e4ad8b9?cid=0c571addac5347aa9932ddc72e415d79,1993-07-20,"['chicano rap', 'gangster rap', 'hip hop', 'rap rock', 'west coast rap']",71,0.803,0.578,-13.264,0.182,0.0103,0.812,0.199,0.499,92.175,1,1,160867,rap
96,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,https://p.scdn.co/mp3-preview/c73d0311585a0ad805eee20a62dde424afc4f9ff?cid=0c571addac5347aa9932ddc72e415d79,1996-06-18,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']",71,0.625,0.426,-8.4,0.0271,0.412,0.0,0.116,0.112,110.021,2,0,270333,r&b
97,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,I Have Nothing,31er9IGsfFbwqy1pH4aiTP,https://p.scdn.co/mp3-preview/5c8f741d2fb049a966c087b9942781f715ebdbc9?cid=0c571addac5347aa9932ddc72e415d79,1992-11-17,['dance pop'],78,0.541,0.401,-10.499,0.0365,0.576,0.0,0.164,0.24,152.943,0,1,289160,pop
98,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,https://p.scdn.co/mp3-preview/7169f00bce3ef6e55a655c5a3a641ed0e87f1e56?cid=0c571addac5347aa9932ddc72e415d79,1992-04-02,"['new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'synthpop']",70,0.749,0.562,-8.45,0.0281,0.215,1.1e-06,0.105,0.807,115.008,0,1,253296,pop
99,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,She's so High,7mnGQesk1TzQLzQ9bYWZPR,https://p.scdn.co/mp3-preview/ad27f259430b96e32b82733a5f3272cb6bf3f2e5?cid=0c571addac5347aa9932ddc72e415d79,1999-02-23,['pop rock'],75,0.537,0.84,-4.626,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,9,1,224693,pop
100,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Tomorrow,24tO365YW6lcZr1hN4Ukzj,https://p.scdn.co/mp3-preview/a2b8a3af3004d70311bd67d526db72e554443cfc?cid=0c571addac5347aa9932ddc72e415d79,1995-03-27,"['alternative metal', 'alternative rock', 'australian alternative rock', 'australian psych', 'grunge', 'nu metal', 'post-grunge']",66,0.292,0.714,-4.919,0.0316,0.000658,0.000109,0.102,0.462,151.412,2,1,266280,alternative
101,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Runaway Train (2022 Remaster),3TW48DvQ7ChwY1Yy1tkMaP,https://p.scdn.co/mp3-preview/0fd3098d25337ae427ba099282e22e2055632bfa?cid=0c571addac5347aa9932ddc72e415d79,1992-10-06,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'post-grunge']",74,0.613,0.72,-7.957,0.0425,0.0132,0.0,0.104,0.561,117.341,0,1,265867,rock
102,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,https://p.scdn.co/mp3-preview/f993b54e7d53b6f54d493749da7908a8ab61914f?cid=0c571addac5347aa9932ddc72e415d79,1999-07-27,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",74,0.845,0.576,-5.15,0.153,0.139,0.0,0.0764,0.461,127.641,11,0,256027,pop
103,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Shimmer,74KI6d8jEM2zwOAo3luayU,https://p.scdn.co/mp3-preview/0534777a632c856f595b3dbdaf54df8abdafbd85?cid=0c571addac5347aa9932ddc72e415d79,1997,"['alternative metal', 'nu metal', 'post-grunge']",66,0.48,0.795,-6.408,0.0421,0.00236,0.0,0.189,0.432,114.674,4,0,214107,metal
104,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Sunny Came Home,4mOxpj82q6n3EO7HBZCelX,https://p.scdn.co/mp3-preview/2b61611445aef0e42d6ee5791b2aa3bab8d5c10e?cid=0c571addac5347aa9932ddc72e415d79,1996-09-30,"['austin singer-songwriter', 'ectofolk', 'folk', 'lilith', 'new wave pop', 'singer-songwriter']",57,0.558,0.579,-8.05,0.0324,0.342,0.00831,0.0989,0.403,167.812,11,0,264200,folk
