,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
98,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,https://p.scdn.co/mp3-preview/2add5c025df9c2208c4b2c3b0357661f2d95eda5?cid=0c571addac5347aa9932ddc72e415d79,2016-12-09,"['dfw rap', 'melodic rap', 'pop', 'rap']",82,0.556,0.538,-5.408,0.0382,0.0689,0.0,0.196,0.291,143.95,8,0,223347,rap
99,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,One Day,27r2uANqwK7XbsiAZnzf9e,,2017-12-24,"['alt z', 'pop']",1,0.52,0.119,-12.148,0.0407,0.922,0.0,0.0883,0.355,69.217,0,1,202496,pop
100,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Complicated,0jllH0usRFD4LJkJnGK9Lf,,2015-08-09,"['alt z', 'pop']",57,0.657,0.355,-12.044,0.0714,0.694,0.000427,0.123,0.0808,74.99,7,1,189000,pop
101,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,If By Chance,21dpBHPTV7ythCHBI6Slcw,https://p.scdn.co/mp3-preview/90198931a71b83f1668927800416be0897a40a67?cid=0c571addac5347aa9932ddc72e415d79,2017-05-05,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",70,0.405,0.279,-8.099,0.0334,0.881,0.0,0.0933,0.256,119.85,10,1,303653,pop
102,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Superficial Love,5hwh37sTi84MVhCBMWzhGE,https://p.scdn.co/mp3-preview/15c852ae0e2a4518684f3f29dc5b2ab259d653d3?cid=0c571addac5347aa9932ddc72e415d79,2015-11-27,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",68,0.477,0.242,-9.162,0.0529,0.928,0.0,0.0818,0.488,43.509,8,1,207973,pop
103,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,That's Us,7sTDqaGUr9NM8NHQ5SNHi1,https://p.scdn.co/mp3-preview/74799fe8a9d3655fe677e0a6844c5b139fb53fc7?cid=0c571addac5347aa9932ddc72e415d79,2020-05-08,"['alt z', 'gen z singer-songwriter']",63,0.621,0.108,-15.399,0.0493,0.968,1.67e-05,0.137,0.204,129.285,10,1,270462,uncategorized
104,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,scared,6r2JV75tE0vNgNCv4HKsBC,https://p.scdn.co/mp3-preview/537729fcad30a2ab2abe0f22bb2722cc991ff6a8?cid=0c571addac5347aa9932ddc72e415d79,2019-05-03,"['alt z', 'electropop', 'pop']",63,0.583,0.075,-15.843,0.0726,0.933,1.4e-06,0.111,0.347,108.418,5,1,207520,pop
105,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Medicine,4TxJQDtvYHJcOBH6ONi6q2,,2012-01-01,"['chamber pop', 'shimmer pop']",1,0.166,0.298,-12.439,0.032,0.106,0.206,0.572,0.207,78.437,3,1,258973,pop
106,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,https://p.scdn.co/mp3-preview/485a4e70d7a71480ada5004ec80a230ab97d8663?cid=0c571addac5347aa9932ddc72e415d79,2018-11-16,"['alt z', 'pop', 'pov: indie']",80,0.723,0.504,-5.572,0.0392,0.388,7.4e-05,0.087,0.551,133.975,8,1,218893,pop
107,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,I Don't Want You Back,38nKfxyRrjYfx0ODX1W5yB,https://p.scdn.co/mp3-preview/9702cbf032ca618b22ed9efcd4ddad83b17548f6?cid=0c571addac5347aa9932ddc72e415d79,2018-07-20,"['alt z', 'pop']",60,0.613,0.347,-6.486,0.034,0.591,0.0,0.0959,0.25,109.764,5,1,224144,pop
