,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
105,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,I'm Good (Blue),5Yo5PpwKlekpbOd8JucLAP,https://p.scdn.co/mp3-preview/b4954b4d873ad229c927accefb88a7e9395a5b03?cid=0c571addac5347aa9932ddc72e415d79,2022-12-02,['chill house'],70,0.706,0.68,-9.103,0.0324,0.00325,7.04e-05,0.146,0.43,115.04,9,0,137478,house
106,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,By My Side,3fr7hnYzKRzGQo030EgAox,https://p.scdn.co/mp3-preview/633073d43b65a77353d7d1a7a1f472d5bff8aab4?cid=0c571addac5347aa9932ddc72e415d79,2023-06-14,[unknown],52,0.785,0.63,-9.594,0.0508,0.0732,0.078,0.109,0.0845,115.037,2,1,171136,uncategorized
107,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,For A Better Love,1s72T3EDcReVMXf7X4Hlgr,https://p.scdn.co/mp3-preview/1506d9c04133241f7cd90c627ca8f3a0753c3c2d?cid=0c571addac5347aa9932ddc72e415d79,2023-04-19,['new french touch'],53,0.549,0.35,-14.485,0.266,0.763,0.00671,0.0919,0.107,124.997,5,1,161325,uncategorized
108,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Believe,6WPxsOPkr2gK2cViOmPzKB,https://p.scdn.co/mp3-preview/683ca74629fb6b891eca6493506a05243910f8b3?cid=0c571addac5347aa9932ddc72e415d79,2023-03-07,[unknown],51,0.497,0.556,-10.232,0.0401,0.287,0.00865,0.0976,0.109,102.981,0,0,188738,uncategorized
109,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Last Time,2h4wIFtj26OnX7aW1zmest,https://p.scdn.co/mp3-preview/17213ed57b67bc425b5c0c36144591cba9728f38?cid=0c571addac5347aa9932ddc72e415d79,2022-09-30,[unknown],56,0.641,0.853,-10.147,0.0577,0.505,0.735,0.0796,0.0366,115.037,6,1,133565,uncategorized
110,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Flower,4xJgLXFUkIkILn6Z5IHBtD,https://p.scdn.co/mp3-preview/73984dd2200255df99eab59140fafe3106c024b0?cid=0c571addac5347aa9932ddc72e415d79,2020-03-27,['new french touch'],62,0.697,0.751,-8.253,0.0943,0.343,0.00291,0.136,0.305,111.985,5,0,166607,uncategorized
111,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Get Lost,1Sg9T05VAUCCfkpJAGr13Z,https://p.scdn.co/mp3-preview/137d0976e5998c9f46cd832bfaed5fdb66157d2a?cid=0c571addac5347aa9932ddc72e415d79,2023-07-05,['chill house'],56,0.746,0.584,-12.131,0.446,0.549,0.00194,0.319,0.278,117.147,7,1,172308,house
112,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Highly Functioning,7nkxIKWh0PQYwYcKmwt1Fj,https://p.scdn.co/mp3-preview/303983648bb51754ad9821190a0b1e1002355798?cid=0c571addac5347aa9932ddc72e415d79,2022-04-08,[unknown],54,0.834,0.547,-12.108,0.0516,0.223,0.11,0.197,0.596,113.009,7,0,219637,uncategorized
113,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Away From Home,44EgTZXLY0a2NcKaZdnkyL,https://p.scdn.co/mp3-preview/a46b67b12802f32e3dc09a8e6a5052a84f9d7aaa?cid=0c571addac5347aa9932ddc72e415d79,2022-06-24,['new french touch'],60,0.698,0.871,-7.073,0.0469,0.221,0.0,0.298,0.79,98.003,2,1,149072,uncategorized
114,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Time For Reason,4s7QgMMyMlol6ccHoSwyyQ,https://p.scdn.co/mp3-preview/9ff94fc34a600f60d5b23bacb36d60e663cbf282?cid=0c571addac5347aa9932ddc72e415d79,2022-10-04,[unknown],55,0.733,0.488,-12.761,0.11,0.838,0.28,0.108,0.253,119.998,1,1,212506,uncategorized
