,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
142,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Red,1PxQuGmS3kIQhyPSDzrgi5,https://p.scdn.co/mp3-preview/ed0cfe2bf2842cca55105df9f1b093f1a058d31a?cid=0c571addac5347aa9932ddc72e415d79,2013-04-29,['brighton indie'],3,0.556,0.302,-12.508,0.0745,0.467,3.54e-05,0.0881,0.32,71.392,5,0,348523,indie
143,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Teardrops,0RA79dwecqvG9MR03jqiRx,,2018-02-14,['indie soul'],0,0.87,0.72,-7.679,0.0413,0.17,0.0908,0.0686,0.832,92.006,11,1,198332,indie
144,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,The Girl From Ipanema,7F5rIyOI88zk36AiBXC8xq,https://p.scdn.co/mp3-preview/7022993c14feaa1b6c64d7684920246c2cdb877d?cid=0c571addac5347aa9932ddc72e415d79,2011-01-01,"['british soul', 'neo soul']",63,0.696,0.616,-5.144,0.047,0.25,4.35e-06,0.107,0.66,138.059,9,0,166960,soul
145,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Power On,6eykhAkF0Ml7aBCJdiAYf7,,2019-01-18,"['art pop', 'indie soul', 'indietronica', 'neo soul', 'uk alternative pop']",0,0.649,0.468,-10.951,0.0447,0.849,0.00706,0.106,0.618,92.489,2,1,246400,pop
146,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Mad Sounds,75n7mraeMycQOl2sDGYaTe,https://p.scdn.co/mp3-preview/439a1d690e8ccf29e67a623da8affa8437cd3305?cid=0c571addac5347aa9932ddc72e415d79,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",66,0.532,0.462,-10.71,0.03,0.279,0.196,0.101,0.485,80.001,10,1,215012,rock
147,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,VCR,0Cr3j6qhDItBeFbAzdXtN2,https://p.scdn.co/mp3-preview/ac1b234be2011f8bc5949a8aced12210c18455d4?cid=0c571addac5347aa9932ddc72e415d79,2009-08-16,"['downtempo', 'dream pop', 'indietronica']",63,0.755,0.482,-12.729,0.03,0.891,0.818,0.1,0.48,109.354,0,1,177093,pop
148,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Orange Moon,1Df4urfsVBB0CGQVBPIFHi,https://p.scdn.co/mp3-preview/1bcaa653def200619fc5e31f39fa99005a565c4c?cid=0c571addac5347aa9932ddc72e415d79,2000-10-31,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",38,0.432,0.148,-13.997,0.0352,0.412,0.000248,0.135,0.119,102.558,5,0,429400,r&b
149,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,(There Is) No Greater Love,4eHclAquzcX5ZCMBaVAUXB,https://p.scdn.co/mp3-preview/18e59ef5433cbf91c99fa629d74dc2269a038c44?cid=0c571addac5347aa9932ddc72e415d79,2003-10-20,"['british soul', 'neo soul']",40,0.388,0.242,-12.177,0.0481,0.955,4.73e-05,0.0999,0.223,137.411,1,0,128933,soul
150,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,emotionallycoaster,6Y4HQDbuzupT2ppopgy85C,,2021-03-17,['leeds indie'],0,0.804,0.47,-9.09,0.203,0.445,0.0,0.174,0.21,115.101,8,1,118074,indie
151,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Florence,4IWKqjDmoYFsgjDBDcFWdj,https://p.scdn.co/mp3-preview/738a6db090091e7d4433db49ce5dc58e390e8459?cid=0c571addac5347aa9932ddc72e415d79,2017-01-20,"['indie soul', 'london rap']",54,0.806,0.563,-6.872,0.378,0.525,0.00112,0.0856,0.489,89.916,4,0,184520,rap
152,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Lost & Found,206uJfrl2UY3EdfejAATQk,https://p.scdn.co/mp3-preview/178dd01a37932da6369eb3cdfa5aaef98777ff05?cid=0c571addac5347aa9932ddc72e415d79,2012-07-06,"['alternative r&b', 'british soul', 'indie soul', 'neo soul', 'pop soul', 'soul']",28,0.518,0.349,-11.527,0.0355,0.82,1.06e-06,0.123,0.142,134.064,2,0,267747,soul
153,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Eugene,0sT4slW2xWai3EwVSiuL9Y,https://p.scdn.co/mp3-preview/e6b360f867aec8f41a76a4c8ed7cdf385900b488?cid=0c571addac5347aa9932ddc72e415d79,2021-01-29,"['indie pop', 'indie soul', 'uk contemporary r&b']",54,0.618,0.59,-7.186,0.0428,0.779,0.00848,0.0906,0.896,174.266,7,0,223413,indie
154,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Rain Man,4Ozmbn4LIW5WVZhhHuk1Gp,,2017-04-26,"['bedroom pop', 'pov: indie']",0,0.389,0.292,-9.636,0.0548,0.988,0.891,0.117,0.321,86.598,5,1,44120,pop
155,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Feel (feat. Lianne La Havas),68TJaMSstlIuOKpRr1riov,https://p.scdn.co/mp3-preview/d8ab7f31028485cbed58fa7e247fff1627441d13?cid=0c571addac5347aa9932ddc72e415d79,2019-07-18,['uk alternative pop'],27,0.611,0.134,-13.96,0.0537,0.836,0.0184,0.081,0.136,115.909,11,1,390560,pop
