,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
62,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Waterfalls,6qspW4YKycviDFjHBOaqUY,https://p.scdn.co/mp3-preview/7fae23d7bb19a77d6c5552f385cc6f80534dfae7?cid=0c571addac5347aa9932ddc72e415d79,1994-11-15,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",78,0.769,0.505,-7.345,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,1,1,279507,pop
63,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Truly Madly Deeply,013AWvizllIUEC2FOBzOnh,https://p.scdn.co/mp3-preview/304927122d9ce05a4ac0e2399ba4109a77f605fb?cid=0c571addac5347aa9932ddc72e415d79,1997-03-04,"['boy band', 'dance pop', 'pop rock']",74,0.555,0.698,-8.874,0.0287,0.403,0.0,0.0851,0.816,168.12,0,1,277267,pop
64,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Breakfast At Tiffany's,1uzWOoJdADfstQuFtQFTUn,https://p.scdn.co/mp3-preview/7bf57cbf18feec369fe7642170233df65c4c16f6?cid=0c571addac5347aa9932ddc72e415d79,1995-01-01,['pop rock'],75,0.622,0.829,-5.548,0.029,0.11,0.0,0.0954,0.539,110.367,2,1,257373,pop
65,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,When You're Gone,7p9dd71JR2ucoAuO1Sy0VZ,https://p.scdn.co/mp3-preview/712f2e3a3ec57f60feb8840a21595f394d70ff40?cid=0c571addac5347aa9932ddc72e415d79,1998-01-01,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",71,0.546,0.931,-6.344,0.0341,0.000299,2.92e-05,0.11,0.643,125.495,0,1,204893,rock
66,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Say You'll Be There,1yTQ39my3MoNROlFw3RDNy,https://p.scdn.co/mp3-preview/2ca221a0846c48e6d70b7646484a0ab0eb6ed494?cid=0c571addac5347aa9932ddc72e415d79,1996-01-01,"['dance pop', 'girl group', 'pop']",70,0.726,0.679,-6.219,0.0473,0.0149,1.49e-06,0.0837,0.751,107.02,1,1,235973,pop
67,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Walking in Memphis,60Pwcnt2y9ML9VP4gwrcxm,https://p.scdn.co/mp3-preview/9b803006c2c438cbe63261916fc722d7fb70cc2c?cid=0c571addac5347aa9932ddc72e415d79,1995-11-06,"['dance pop', 'pop']",62,0.696,0.679,-7.363,0.0305,0.587,0.0,0.165,0.527,128.982,2,1,235493,pop
68,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I Swear,4WUnM4KNZ0kjp0CUeoyOnS,https://p.scdn.co/mp3-preview/261d429233ad5f69295d41d5a7a115a9b79c59ef?cid=0c571addac5347aa9932ddc72e415d79,1994-01-01,"['boy band', 'contemporary r&b', 'r&b']",74,0.532,0.407,-9.658,0.0233,0.235,0.0,0.117,0.23,83.207,6,0,259853,r&b
69,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Hallelujah,3pRaLNL3b8x5uBOcsgvdqM,https://p.scdn.co/mp3-preview/b2267deb319eac11b93d8544ae7c714c16ca1959?cid=0c571addac5347aa9932ddc72e415d79,1994,"['melancholia', 'permanent wave', 'singer-songwriter']",72,0.324,0.136,-10.33,0.0318,0.931,0.00117,0.176,0.0831,97.256,0,1,413827,uncategorized
70,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,https://p.scdn.co/mp3-preview/f993b54e7d53b6f54d493749da7908a8ab61914f?cid=0c571addac5347aa9932ddc72e415d79,1999-07-27,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",74,0.845,0.576,-5.15,0.153,0.139,0.0,0.0764,0.461,127.641,11,0,256027,pop
71,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Endless Love,5iwyLsQ5yjnCaRrJGyAPZM,https://p.scdn.co/mp3-preview/a4cad6e43a6a9e5122bd458f103b9e229e1c2e37?cid=0c571addac5347aa9932ddc72e415d79,1992-01-01,['soft rock'],73,0.483,0.268,-11.809,0.0257,0.866,0.0163,0.145,0.182,93.47,10,1,266800,rock
72,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,No Scrubs,1KGi9sZVMeszgZOWivFpxs,https://p.scdn.co/mp3-preview/87c4c3435b531616e2d642009a18eb711f87be4e?cid=0c571addac5347aa9932ddc72e415d79,1999-02-23,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",84,0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,8,0,214400,pop
73,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Here With Me,5kj1AhJxSUums4ddBEaMhT,https://p.scdn.co/mp3-preview/0e86b3929f3f11b213273585f83bf832b92e242d?cid=0c571addac5347aa9932ddc72e415d79,1999-06-01,"['dance pop', 'europop', 'lilith', 'neo mellow', 'pop rock']",50,0.551,0.578,-7.973,0.0273,0.0876,7.73e-06,0.0757,0.364,83.358,11,0,255427,pop
74,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,To Be With You - 2010 Remastered Version,3Mmt6Xk0H6VR92PEp6x3hP,https://p.scdn.co/mp3-preview/0085396c8a2838dfa9d22b44c679bdcb77ed190c?cid=0c571addac5347aa9932ddc72e415d79,1991-03-26,"['glam metal', 'hard rock']",68,0.688,0.375,-9.601,0.0535,0.286,0.0,0.133,0.45,83.635,4,1,210480,rock
