,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
408,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,From the Wreckage Build a Home,4nfJaz7eFYR82rWumtPutG,https://p.scdn.co/mp3-preview/2e0e99c42734b92e7d8aca54caf75aa0a99c96c7?cid=0c571addac5347aa9932ddc72e415d79,2014-08-01,"['folk-pop', 'new americana']",35,0.579,0.79,-7.049,0.0313,0.34,0.00442,0.134,0.185,97.528,3,1,213813,pop
409,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Leijonakuningas,0VO3s0A4fzsRDcO1PH9iyS,https://p.scdn.co/mp3-preview/604557f9f88816742b76bff6340fd7c10d923ac4?cid=0c571addac5347aa9932ddc72e415d79,2016-02-24,"['finnish dance pop', 'finnish pop', 'iskelma', 'suomi rock']",28,0.64,0.447,-5.809,0.0396,0.437,0.0,0.216,0.475,92.979,4,0,216973,pop
410,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Kuu saa valtansa auringolta - Live,6p6m2mVOyapclZZfWJjvJ0,https://p.scdn.co/mp3-preview/41da1c10e5ec7e23c9eefe05618363dbbb67d6f8?cid=0c571addac5347aa9932ddc72e415d79,2015-11-27,"['finnish pop', 'suomi rock']",26,0.311,0.669,-10.082,0.114,0.37,0.0,0.909,0.255,90.076,3,0,405800,pop
411,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Hallelujah,74X1epeRufHckhuX1KFD04,,1994,"['melancholia', 'permanent wave', 'singer-songwriter']",0,0.339,0.143,-10.78,0.0317,0.921,0.000636,0.372,0.0948,101.213,0,1,413320,uncategorized
412,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Oblivion,5iyqqccidB1SEpOXXctyTR,,2013-01-01,"['metropopolis', 'modern rock', 'pop']",0,0.397,0.331,-9.027,0.0297,0.708,1.37e-06,0.424,0.247,78.702,5,1,196347,pop
413,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Cradled in Love,7saeg1XSIx0RhNMHY5km2e,https://p.scdn.co/mp3-preview/09cb9eca7bd18ae98d55596b23247ffeeb7dac84?cid=0c571addac5347aa9932ddc72e415d79,2012-07-20,['finnish alternative rock'],43,0.592,0.474,-8.288,0.0262,0.557,0.0,0.148,0.317,130.0,4,1,281827,rock
414,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,If I Could Fly,5CRVwXGikmqzoRO6q7FeAg,https://p.scdn.co/mp3-preview/74c65daf7281a8692c166f9ac398ee931e3593a1?cid=0c571addac5347aa9932ddc72e415d79,2015-11-13,"['boy band', 'pop', 'post-teen pop', 'talent show']",70,0.565,0.245,-9.132,0.0262,0.781,0.0,0.0998,0.307,75.055,5,1,230320,pop
415,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Your Bones,3ewKQAIFCLDk0mbhV0HjWE,https://p.scdn.co/mp3-preview/459e88298526cbdd1ddd133088d297598a1f0869?cid=0c571addac5347aa9932ddc72e415d79,2012-01-01,"['folk-pop', 'metropopolis', 'modern rock', 'stomp and holler']",51,0.412,0.726,-6.159,0.0525,0.000429,1.07e-06,0.246,0.33,116.63,2,0,249200,pop
416,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Lost,6vhYDNMZgffPwcdXdvMqCS,https://p.scdn.co/mp3-preview/f6bc83e4b57c4c4b54460ecc18536de04d9861d8?cid=0c571addac5347aa9932ddc72e415d79,2007-04-30,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",61,0.518,0.354,-9.141,0.029,0.764,0.00055,0.114,0.315,137.749,11,1,219840,pop
417,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Tenerife Sea,1HbcclMpw0q2WDWpdGCKdS,https://p.scdn.co/mp3-preview/7f1ba691113b6393f373e763ea0a2261c9215a8b?cid=0c571addac5347aa9932ddc72e415d79,2014-06-21,"['pop', 'singer-songwriter pop', 'uk pop']",70,0.53,0.346,-10.497,0.0376,0.697,1.07e-05,0.105,0.359,121.876,8,1,241347,pop
